name,description,card_type,landscape,cost,atk,def,ability,deck_info,image_name
Apple Bully,Apple Bully's Landscape cannot be flipped down by effects opponents control.,Creature,Cornfield,2,3,8,Continuous,For the Glory! Booster Pack (FTG) - Rare,Apple Bully.jpg
Apple Pieclops,"At the start of your turn, you may heal or deal 1 Damage to each Creature you control. (Choose for each Creature.)",Creature,NiceLands,2,1,7,Trigger,Princess Bubblegum's NiceLands Deck (CP3) - 2,Apple Pieclops.jpg
Archer Dan,FLOOP >>> Destroy target Building in Archer Dan's Lane.,Creature,Cornfield,2,2,6,FLOOP,Jake's Cornfield Deck (CP1) - 1 : For the Glory! Booster Pack (FTG) - Rare,Archer Dan.jpg
Archer Danica,Destroy a Building you control and Floop >>> Deal 3 damage to each opposing Creature.,Creature,Cornfield,2,1,6,FLOOP,Cake's Cornfield Deck (CP6) - 1,Archer Danica.jpg
Assistance,"At the start of your or your Teammate's Fight Phase, if you or your Teammate played a Creature with cost 2 or greater this turn, the other Teammate may draw a card.",Teamwork,SandyLands,1,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Assistance.jpg
Auto-Plucker,FLOOP >>> Heal or deal 1 Damage to your Creature in this Lane.,Building,NiceLands,1,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 1,Auto-Plucker.jpg
Bail Out,"Put target Creature you own into your hand, and then play it for free.",Spell,SandyLands,1,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Bail Out.jpg
Bale Out,"When target Creature attacks this turn, if it would leave play  during the Fight Phase, remove all Damage from it instead.",Spell,Cornfield,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Bale Out.jpg
Ban-She Princess,"When Ban-She Princess enters play, you may remove a token from an adjacent Landscape.",Creature,Useless Swamp,1,2,7,Entering Play,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Ban-She Princess.jpg
Ban-She Queen,"When Ban-She Queen enters play, you may remove a token from an adjacent Landscape.",Creature,Useless Swamp,2,3,9,Entering Play,Marceline's NiceLands/Useless Swamp Deck (CP4) - 1,Ban-She Queen.jpg
Bayou Fountain,Discard a card >>> Your Creature on this Landscape has +1 ATK this turn. (Use any number of times during each of your turns.),Building,Useless Swamp,1,,,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 2,Bayou Fountain.jpg
Beach Blast,"Reveal the top 3 cards of your deck. Draw 1 and discard the rest. After playing this, you may put it into your Teammate's hand.",Spell,Rainbow,1,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Beach Blast.jpg
Beach Mummy,FLOOP >>> Return a Creature in an adjacent Lane to its owner's hand.,Creature,SandyLands,1,1,6,FLOOP,Lady Rainicorn's SandyLand Deck (CP2) - 2 : For the Glory! Booster Pack (FTG) - Common,Beach Mummy.jpg
Bean Ball Bomba,FLOOP >>> Heal or deal Damage to your Creature on this Landscape until it has 4 Damage on it.,Spell,NiceLands,2,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Bean Ball Bomba.jpg
Big Foot,FLOOP >>> Flip target face down Landscape you control face up.,Creature,Rainbow,0,1,4,FLOOP,Jake's Cornfield Deck (CP1) - 2,Big Foot.jpg
Billy,"If your opponent's deck runs out of cards, you win the game.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Billy.jpg
Biomancer,"Each time a Creature you control changes Lanes, heal 2 Damage from Biomancer.",Creature,Blue Plains,1,1,8,Trigger,Charlie's Blue Plains/NiceLands Deck (2v2) - 2,Biomancer.jpg
Black Hole Pendant,"Target Creature has +X ATK this turn, where X is the number of different Landscape types your opponent controls.",Spell,Rainbow,0,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Black Hole Pendant.jpg
Black Paladin,+1 ATK for each card players (including you) have discarded from their hand this turn.,Creature,Useless Swamp,1,1,7,Continuous,For the Glory! Booster Pack (FTG) - Uncommon,Black Paladin.jpg
Blonde MerWitch,"The seas are her cauldron, and her ingredients are anything that sinks.",Creature,Rainbow,2,3,9,None,BMO's Useless Swamp Deck (CP2) - 1,Blonde MerWitch.jpg
Blood Bath,"Target foe may discard a card with cost 2 or greater. If they do not, deal 5 Damage to that foe.",Spell,Useless Swamp,2,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Blood Bath.jpg
Blood Castle,"Each time an opposing Creature in this Lane takes Damage, increase the amount by 1.",Building,Rainbow,1,,,,Cake's Cornfield Deck (CP6) - 2,Blood Castle.jpg
Blood Fortress,Your Creature in this Lane has +1 ATK.,Building,Rainbow,1,,,,Jake's Cornfield Deck (CP1) - 2 : Finn's Blue Plains Deck (CP1) - 1 : BMO's Useless Swamp Deck (CP2) - 2 : Lady Rainicorns's SandyLands Deck (CP2) - 2 : Princess Bubblegum's NiceLands Deck (CP3) - 1 : Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 1,Blood Fortress.jpg
Blood Transfusion,"Remove from game a card in any player's discard pile. Heal X Damage from target Creature, where X is the cost of the card removed this way.",Spell,Rainbow,0,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 1,Blood Transfusion.jpg
Blue Candy,Heal up to 3 Damage from target Creature you control.,Spell,NiceLands,1,,,,Princess Bubblegum's NiceLands Deck (CP3) - 2,Blue Candy.jpg
Blue Gnome,FLOOP >>> Deal 1 Damage to each opposing Creature that is on a Useless Swamp Landscape.,Creature,Blue Plains,1,1,6,FLOOP,For the Glory! Booster Pack (FTG) - Uncommon,Blue Gnome.jpg
Blue Merlock,"FLOOP >>> Draw a card, then discard a card.",Creature,Useless Swamp,1,2,5,FLOOP,For the Glory! Booster Pack (FTG) - Common,Blue Merlock.jpg
Blue Ogre,"Whenever you draw a card, Blue Ogre has +1 ATK this turn.",Creature,Blue Plains,2,1,5,Trigger,For the Glory! Booster Pack (FTG) - Rare,Blue Ogre.jpg
Blue Slimey,"If you control 3 or more different Landscape types when Blue Slimey enters play, return a Creature in this Lane to it's owner's hand.",Creature,Blue Plains,1,2,6,Entering Play,For the Glory! Booster Pack (FTG) - Uncommon,Blue Slimey.jpg
Blueberry Djini,"When Blueberry Djini enters play, if it replaced a Creature, draw two cards.",Creature,Blue Plains,1,2,6,Entering Play,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Blueberry Djini.jpg
Blueberry Pieclops,Blueberry Pieclops costs 1 less to play for each Spell you have played this turn.,Creature,Blue Plains,4,5,6,Continuous,For the Glory! Booster Pack (FTG) - Uncommon,Blueberry Pieclops.jpg
BMO,Discard a card from your hand >>> Deal 1 Damage to target Creature.,Hero,,,,,,Hero Pack #1 (HP1) - 1,BMO.jpg
Boarder Collie,"FLOOP >>> Move Boarder Collie to any of your empty Landscapes. If either Landscape in that Lane is Frozen, gain 1 Action.",Creature,IcyLands,1,1,7,FLOOP,Ice King's IcyLands Deck (CP4) - 1,Boarder Collie.jpg
Bog Ban-She Angel,Pay 1 Action >>> Move all Damage on this Creature to target Creature.,Creature,Useless Swamp,2,2,7,Ignition,Marceline's NiceLands/Useless Swamp Deck (CP4) - 1,Bog Ban-She Angel.jpg
Bog Bum,"If Bog Bum leaves play while Ready, each opponent discards a random card.",Creature,Useless Swamp,1,2,6,Leaving Play,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Bog Bum.jpg
Bog Frog Bomb,"If Bog Frog Bomb leaves play while Ready, deal 2 Damage to each opposing Creature.",Creature,Useless Swamp,2,3,8,Leaving Play,Marceline's NiceLands/Useless Swamp Deck (CP4) - 1,Bog Frog Bomb.jpg
Bog Palace,"Your Creature on this Landscape has +3 ATK. At the start of each of your turns, discard a card.",Building,Useless Swamp,2,,,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Bog Palace.jpg
Bomb Pop,Destroy target Creature on a Landscape with a Frozen token on it.,Spell,IcyLands,1,,,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Bomb Pop.jpg
Bone Wand,Play only if you control a Useless Swamp Creature. Target opponent discards a card from his hand.,Spell,Rainbow,0,,,,BMO's Useless Swamp Deck (CP2) - 2,Bone Wand.jpg
Bouncing Zebracorn,+1 ATK for each different Landscape type you control.,Creature,Cornfield,2,1,9,Continuous,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Bouncing Zebracorn.jpg
Brain Gooey,"When Brain Gooey enters play, if it replaced a Creature, it has +2 ATK this turn.",Creature,Blue Plains,1,1,7,Entering Play,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Brain Gooey.jpg
Brief Power,Target Useless Swamp Creature you control has +2 ATK this turn.,Spell,Rainbow,0,,,,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Brief Power.jpg
Brigadier Banana Split,"When Brigadier Banana Split attacks, deal 2 Damage to target opposing Creature on a Landscape with a Frozen token on it.",Creature,IcyLands,2,3,9,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Brigadier Banana Split.jpg
Bums Away!,"Target foe may discard a card. If they do not, deal 2 Damage to each of their Creatures.",Spell,Useless Swamp,1,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Bums Away!.jpg
Burly Lumberjack,You may play additional Buildings onto this Landscape.,Creature,Cornfield,2,2,9,Continuous,Cake's Cornfield Deck (CP6) - 2,Burly Lumberjack.jpg
Business Dog,"Business Dog has +2 ATK this turn for each card you have played ""Dog"" or ""Puppy"" in its tile this turn.",Creature,Blue Plains,1,1,6,,Fionna's Blue Plains Deck (CP6) - 1,Business Dog.jpg
Cabin of Many Woods,Cabin of Many Woods costs 1 less to play for each Flooped Creature you control. Your Creature in the Lane has +5 DEF.,Building,Cornfield,5,,,,Cake's Cornfield Deck (CP6) - 1,Cabin of Many Woods.jpg
Cactus Thug,Adjacent Cornfield Creatures have +1 ATK.,Creature,SandyLands,1,2,7,Continuous,For the Glory! Booster Pack (FTG) - Common,Cactus Thug.jpg
Cake,"Each time a Building enters play under your control, heal 2 Damage from each Creature you control with a Building on its Landscape.",Hero,,,,,,Cake's Cornfield Deck (CP6) - 1,Cake.jpg
Camaraderie,"Each time an opposing Creature deals Damage to your team, deal 1 Damage to the opposing Team.
",Teamwork,IcyLands,2,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Camaraderie.jpg
Captain Taco,"When Captain Taco enters play, deal 1 Damage to each Creature that is not on a Cornfield Landscape.",Creature,Cornfield,1,1,1,Entering Play,For the Glory! Booster Pack (FTG) - Common,Captain Taco.jpg
Cardboard Mansion,Cardboard Mansion costs 1 less to play for every 5 cards in your Discard Pile. FLOOP >>> Gain 1 Action.,Building,Useless Swamp,5,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 1,Cardboard Mansion.jpg
Carmel Camel,"When a Creature you own leaves play, you may put it underneath this card instead. + 1 ATK and + 1 DEF for each card under this. When this card leaves play, discard all cards under it.",Creature,SandyLands,1,0,4,Trigger,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Carmel Camel.jpg
Cave of Solitude,Discard a card >>> Your Creature in this Lane can't be targeted or attacked until the start of your next turn.,Building,NiceLands,2,,,,Princess Bubblegum's NiceLands Deck (CP3) - 1,Cave of Solitude.jpg
Celestial Castle,Your Creature in this Lane has +3 DEF.,Building,Rainbow,1,,,,Jake's Cornfield Deck (CP1) - 1 : Finn's Blue Plains Deck (CP1) - 2 : BMO's Useless Swamp Deck (CP2) - 1 : Lady Rainicorns's SandyLands Deck (CP2) - 1 : Princess Bubblegum's NiceLands Deck (CP3) - 1 : Ice King's IcyLands Deck (CP4) - 1,Celestial Castle.jpg
Celestial Fortress,The opposing Creature in this Lane has -2 DEF.,Building,Rainbow,1,,,,Cake's Cornfield Deck (CP6) - 2,Celestial Fortress.jpg
Cerebral Bloodstorm,Deal 1 Damage to each opposing Creature.,Spell,Rainbow,1,,,,Finn's Blue Plains Deck (CP1) - 2 : Lady Rainicorn's SandyLand Deck (CP2) - 2,Cerebral Bloodstorm.jpg
Charlie,"Once during your turn, you may move a Creature you control to an adjacent empty Landscape.",Hero,,,,,,Doubles Tournament (2v2) - 1,Charlie.jpg
Charming City,All Creatures in this Lane lose their Landscape type and become Rainbow Creatures.,Building,Blue Plains,1,,,,Fionna's Blue Plains Deck (CP6) - 1,Charming City.jpg
Chest Burster,"At the start of your turn, deal 3 Damage to each opponent who has no cards in hand.",Creature,Useless Swamp,1,1,10,Continuous,BMO's Useless Swamp Deck (CP2) - 2,Chest Burster.jpg
Chocolate TaCody,"At the start of your Fight Phase, if there are 1 or more Frozen tokens in this Lane, deal 1 Damage to each Creature target player controls.",Creature,IcyLands,2,2,7,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Chocolate TaCody.jpg
Chronomancer,"Each time Chronomancer changes Lanes, gain 1 Action.",Creature,Blue Plains,2,3,6,Trigger,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Chronomancer.jpg
Clone,Play your next Creature or Building for free if a Creature or Building with that name is in play.,Spell,Rainbow,0,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 1",Clone.jpg
Cloud Tower,Your Creature on this Landscape cannot be targeted by your foe's Spells or Creature abilities. FLOOP >>> Move a Creature you control to this Landscape.,Building,Blue Plains,2,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Cloud Tower.jpg
Cold Soldier,+3 ATK while your opponent does not control a Creature in this Lane,Creature,IcyLands,1,2,4,Continuous,Ice King's IcyLands Deck (CP4) - 2,Cold Soldier.jpg
Collaboration,"The first time you or your Teammate play a Rainbow Spell during their turn, the other Teammate may play a Rainbow Spell with the same cost without paying its cost.",Teamwork,Rainbow,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1 : Grand Prix's SandyLands/IcyLands Deck (2v2) - 1",Collaboration.jpg
Communication,"The first time you or your Teammate play a Rainbow Spell during their turn, the other Teammate may play a Rainbow Spell with cost 0 during their turn, the other Teammate may copy it and may choose new targets.",Teamwork,Rainbow,1,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Communication.jpg
Confectionary Ring,Each of your Creatures has +2 ATK this turn while attacking a Creature that is on a Cornfield Landscape.,Spell,NiceLands,1,,,,For the Glory! Booster Pack (FTG) - Common,Confectionary Ring.jpg
Contribution,"At the start of your and your Teammate's Fight Phase, if you or your Teammate drew 3 or more cards this turn, the other Teammate may draw a card.",Teamwork,Blue Plains,1,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Contribution.jpg
Convey Wisdom,Look at the top 4 cards of target player's deck and put them back in any order. Then draw a card.,Spell,Blue Plains,1,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Convey Wisdom.jpg
Cool Dog,Your Creatures on adjacent Lanes may not be Attacked.,Creature,Blue Plains,2,2,7,Continuous,Finn's Blue Plains Deck (CP1) - 2,Cool Dog.jpg
Cooperation,"At the start of your and your Teammate's Fight Phase, if they played no Creatures this turn, the other Teammate may play a Creature with cost 1 or less without paying its cost.",Teamwork,Cornfield,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Cooperation.jpg
Coordination,"While you or your Teammate control a Creature on a Landscape with a Frozen token on it, your Team may play Creatures onto Landscapes with Frozen tokens on them.",Teamwork,IcyLands,1,,,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Coordination.jpg
Corn Bat,Pay 1 Action >>> Deal 1 Damage to target Creature in this Lane for each different Landscape type you control.,Creature,Cornfield,1,2,7,Ignition,For the Glory! Booster Pack (FTG) - Rare,Corn Bat.jpg
Corn Dog,"Corn Dog has +1 DEF for each Cornfield Landscape you control. If you control 3 or fewer Cornfield Landscapes, Corn Dog has +1 ATK",Creature,Cornfield,1,0,12,Continuous,Jake's Cornfield Deck (CP1) - 1,Corn Dog.jpg
Corn Lord,Corn Lord has +1 ATK for each other Cornfield Creature you control.,Creature,Cornfield,1,0,7,Continuous,Jake's Cornfield Deck (CP1) - 1,Corn Lord.jpg
Corn Ronin,+1 ATK for each adjacent Cornfield Landscape.,Creature,Cornfield,1,1,6,Continuous,Jake's Cornfield Deck (CP1) - 2,Corn Ronin.jpg
Corn Scepter,Deal 1 Damage to target Creature for each Cornfield Landscape you control.,Spell,Rainbow,1,,,,Jake's Cornfield Deck (CP1) - 2,Corn Scepter.jpg
Cornataur,"When Cornataur enters play, deal 1 Damage to your opponent for each Cornfield Landscape you control.",Creature,Cornfield,2,2,10,Entering Play,Jake's Cornfield Deck (CP1) - 2,Cornataur.jpg
Corns Templar,FLOOP >>> Heal 1 Damage from Corns Templar.,Creature,Cornfield,1,1,7,FLOOP,Cake's Cornfield Deck (CP6) - 2,Corns Templar.jpg
Cosmic Owl,Pay 1 Action >>> Look at the top 4 cards of you deck and rearrange them.,Hero,,,,,,Hero Pack #1 (HP1) - 1,Cosmic Owl.jpg
Cotton Devil,+1 DEF for each different Landscape type you control.,Creature,NiceLands,2,4,1,Continuous,For the Glory! Booster Pack (FTG) - Common,Cotton Devil.jpg
Cotton Eyebat,"While Cotton Eyebat has exactly 4 Damage on it, it has +4 ATK.",Creature,NiceLands,1,1,8,Continuous,Princess Bubblegum's NiceLands Deck (CP3) - 2,Cotton Eyebat.jpg
Cottonpult,"FLOOP >>> Deal 1 Damage to target Creature. If Cottonpult has 5 or more Damage on it, it heals 1 Damage and readies.",Creature,NiceLands,1,1,8,FLOOP,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Cottonpult.jpg
Cow,Moo.,Creature,Rainbow,0,1,5,None,Princess Bubblegum's NiceLands Deck (CP3) - 2,Cow.jpg
Cowsper,Each adjacent Cornfield Creature has +1 DEF.,Creature,Cornfield,2,3,8,Continuous,For the Glory! Booster Pack (FTG) - Uncommon,Cowsper.jpg
Crab Skull Island,"Pay 1 Action, FLOOP >>> If this Landscape is empty, reveal cards from the top of your deck until you reveal a Creature, then play it onto this Landscape for free and shuffle the other revealed cards into your deck.",Building,SandyLands,1,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Crab Skull Island.jpg
Crazy Cat Lady,Rainbow Creatures you control have +1 ATK.,Creature,Blue Plains,2,1,10,,Fionna's Blue Plains Deck (CP6) - 2,Crazy Cat Lady.jpg
Cross Pollination,Each of your Cornfield Creatures has +1 ATK this turn for each different Landscape type you control.,Spell,Rainbow,2,,,,Jake's Cornfield Deck (CP1) - 1,Cross Pollination.jpg
Crystal Palace,"When a Landscape in this Lane becomes Frozen, deal 2 Damage to target Creature.",Building,IcyLands,1,,,,Ice King's IcyLands Deck (CP4) - 1,Crystal Palace.jpg
Cuddle Puddle,Friendly Creatures have +1 ATK until the start of the Fight Phase. Then each Creature deals Damage equal to its ATK to the opposing Creature in its Lane.,Spell,NiceLands,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Cuddle Puddle.jpg
Cute Overload,Destroy any number of Creatures you control. Draw a card for each Creature destroyed this way.,Spell,Rainbow,0,,,,Gunter's Blue Plains/IcyLands Deck (CP5) - 1,Cute Overload.jpg
Cutie,FLOOP >>> You heal 1 Hit Point. (Can 't go over 25.),Creature,NiceLands,1,0,6,FLOOP,Princess Bubblegum's NiceLands Deck (CP3) - 2,Cutie Koala.jpg
Cutie Koala,"While Cutie Koala has 4 or more Damage on it, it has +2 ATK.",Creature,NiceLands,1,1,8,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 2",Cutie.jpg
Dark Angel,+1 ATK for every 5 cards in your discard pile.,Creature,Useless Swamp,1,0,5,Continuous,BMO's Useless Swamp Deck (CP2) - 1,Dark Angel.jpg
Davey Bones,Ghost has +2 ATK while defending against a Creature that is on a SandyLands Landscape.,Creature,Rainbow,0,1,4,Continuous,For the Glory! Booster Pack (FTG) - Common,Davey Bones.jpg
Deforestation,Additional Cost: Floop a Creature you control. Search your deck for a Building and put it into play. Then shuffle your deck.,Spell,Cornfield,2,,,,Cake's Cornfield Deck (CP6) - 1,Deforestation.jpg
Diamond Dan,"When Diamond Dan leaves play from a NiceLands Landscape, return it to its owner's hand.",Creature,SandyLands,1,2,2,Leaving Play,For the Glory! Booster Pack (FTG) - Common,Diamond Dan.jpg
Djini Ghost,FLOOP >>> Pay 2 less to play your next Spell this Turn.,Creature,Blue Plains,1,1,6,FLOOP,For the Glory! Booster Pack (FTG) - Rare,Djini Ghost.jpg
Dogboy,Discard a card >>> Dogboy has +2 ATK this turn. (Use only once during each of your turns.),Creature,Rainbow,0,0,5,Ignition,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Dogboy.jpg
Domed Stronghold,Your Creature on this Landscape has +2 DEF and cannot be damaged by your foe's Spells.,Building,Blue Plains,1,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 2,Domed Stronghold.jpg
Dr. Death,Destroy a Creature you control and FLOOP >>> Destroy target opposing Creature in this Lane.,Creature,Useless Swamp,2,1,7,FLOOP,BMO's Useless Swamp Deck (CP2) - 1,Dr. Death.jpg
Dr. Stuffenstein,"FLOOP >>> Heal 2 Damage from a Creature on an adjacent Landscape. If Dr. Stuffenstein has 5 or more Damage on it, heal 2 Damage from each of your Creatures instead.",Creature,NiceLands,2,1,9,FLOOP,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Dr. Stuffenstein.jpg
Dragon Claw,FLOOP >>> Move a Creature you control to an empty Lane.,Creature,Blue Plains,1,1,8,FLOOP,Finn's Blue Plains Deck (CP1) - 2,Dragon Claw.jpg
Dragon Foot,Discard a card >>> Dragon Foot has +1 ATK this turn. (Use up to five times during each of your turns.),Creature,Useless Swamp,1,1,5,Ignition,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Dragon Foot.jpg
Dragoon Parrotrooper,"When Dragoon Parrotrooper enters play, move it to any empty Landscape. It cannot be replaced. Adjacent Creatures have - 1 ATK.",Creature,Rainbow,2,1,8,Entering Play,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Dragoon Parrotrooper.jpg
Drained Cleric,"At the start of your turn, move Drained Cleric to an empty Landscape you control. If you cannot, discard a card.",Creature,Blue Plains,1,3,5,Trigger,Gunter's Blue Plains/IcyLands Deck (CP5) - 2,Drained Cleric.jpg
Drooling Dude,"The ladies love him, as long as they have waterproof shoes.",Creature,Rainbow,2,3,9,None,Jake's Cornfield Deck (CP1) - 1,Drooling Dude.jpg
Drop Zone,Return target Creature you own to your hand.,Spell,Rainbow,0,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Drop Zone.jpg
Druid of the Cob,Flooped Creatures you control have +1 ATK.,Creature,Cornfield,1,1,8,Continuous,Cake's Cornfield Deck (CP6) - 2,Druid of the Cob.jpg
Duet,Heal 1 Damage from a Creature you control and 1 Damage from a Creature you do not control.,Spell,Rainbow,0,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Duet.jpg
Earth Mover,+2 ATK for each face-down Landscape in play.,Creature,Cornfield,2,2,10,Continuous,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Earth Mover.jpg
Elf Hut,Pay 1 Action >>> Draw a card for each Creature in this Lane.,Building,Blue Plains,1,,,,For the Glory! Booster Pack (FTG) - Common,Elf Hut.jpg
Embarrassing Bard,FLOOP >>> Draw a card for each Flooped Creature you control (including this one).,Creature,Blue Plains,2,1,5,FLOOP,Finn's Blue Plains Deck (CP1) - 2,Embarrassing Bard.jpg
Emboldened Retriever,"Each time Emboldened Retriever attacks, you may deal a card. Much ball. Wow.",Creature,Blue Plains,2,2,7,,Fionna's Blue Plains Deck (CP6) - 2,Emboldened Retriever.jpg
Emperor Penguin,Creatures on Landscapes with a Frozen token on it have -1 ATK.,Creature,IcyLands,1,1,8,Continuous,Ice King's IcyLands Deck (CP4) - 2,Emperor Penguin.jpg
Enchanted Celebration,"Move target Creature to an adjacent empty Landscape its controller controls. After playing this, you may put it into your Teammate's hand.",Spell,Rainbow,1,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Enchanted Celebration.jpg
Endearing Elephant,"Each time Endearing Elephant is targeted by an opponent's Spell, deal 2 Damage to target opponent.",Creature,NiceLands,2,4,4,,Jake's Cornfield/NiceLands Deck (2v2) - 1 : Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Endearing Elephant.jpg
Ethan Allfire,"When Ethan Allfire leaves play, draw 1 card for each Cornfield Landscapes you control.",Creature,Cornfield,1,0,4,Leaving Play,For the Glory! Booster Pack (FTG) - Rare,Ethan Allfire.jpg
Evil Eye,Evil is in the eye of the beholder.,Creature,Rainbow,0,1,5,None,Jake's Cornfield Deck (CP1) - 1,Evil Eye.jpg
Extraordinary Spider,"At the start of your turn, deal 1 Damage to target opponent for every 5 cards in your discard pile.",Creature,Useless Swamp,1,1,7,Continuous,BMO's Useless Swamp Deck (CP2) - 2,Extraordinary Spider.jpg
Extreme High Five,"Heal or deal 1 Damage to target Creature. After playing this, you may put it into your Teammate's hand.",Spell,Rainbow,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1 : Grand Prix's SandyLands/IcyLands Deck (2v2) - 1",Extreme High Five.jpg
